name,address,website,phone_number
Top Software Companies,"Level 30, The Leadenhall Building, 122 Leadenhall St, London EC3V 4AB, United Kingdom",topsoftwarecompanies.co,
Magora,"56 Shoreditch High St, London E1 6JJ, United Kingdom",magora-systems.com,+44 20 7183 5820
Theodo UK,"151 Wardour St, London W1F 8WE, United Kingdom",theodo.co.uk,+44 20 3872 2922
HeadChannel,"Third Floor, St Martin's Courtyard, 11 Slingsby Pl, London WC2E 9AB, United Kingdom",headchannel.co.uk,+44 20 7099 6399
Thoughtworks Ltd.,"Fourth Floor, 21-22 Warwick St, London W1B 5NE, United Kingdom",thoughtworks.com,+44 20 3545 5656
Vention - Software Development Company,"30 Churchill Pl, London E14 5RE, United Kingdom",ventionteams.com,+44 20 7117 2842
TIBCO Software Ltd,"40 Gracechurch St, London EC3V 0BT, United Kingdom",tibco.com,+44 20 3817 8500
CodeFirst,"Portland House, Bressenden Pl, London SW1E 5RS, United Kingdom",codefirst.co.uk,+44 20 7043 2136
Astute Myndz Limited,"27 Old Gloucester St, London WC1N 3AF, United Kingdom",,+44 20 8133 7788
Bluecoat Software,"90 Long Acre, London WC2E 9RA, United Kingdom",bluecoatsoftware.com,+44 845 226 0720
Quorum Software London,"5th Floor, Watling House, 33 Cannon St, London EC4M 5SB, United Kingdom",quorumsoftware.com,+44 20 7901 3700
Software Development UK,"10 Lower Thames St, London EC3R 6AF, United Kingdom",softwaredevelopment.co.uk,+44 20 3951 0555
️ 🕹️Fan Studio Game App Development Company London,"20-22 Wenlock Rd, London N1 7GU, United Kingdom",fanstudio.co.uk,+44 20 3287 1166
Gainsight UK Ltd.,"3, Waterhouse Square, 138 - 142 Holborn, London EC1N 2SW, United Kingdom",gainsight.com,+44 20 3900 2991
FortySeven Software Professionals,"2nd floor, Berkeley Square House, Berkeley Square, London W1J 6BD, United Kingdom",fortyseven47.com,
Cergis Software Ltd.,"9 Whitehall, London SW1A 2DD, United Kingdom",cergis.com,+44 20 7925 8030
IRIS Software Ltd,"Ivybridge House, 1 Adam St, London WC2N 6LE, United Kingdom",iris.co.uk,+44 344 815 5661
"RootQuotient | Custom Software Development in UK, Mobile App Development Company","10 John St, London WC1N 2EB, United Kingdom",rootquotient.com,+44 20 8145 0300
Sapphire Systems - London,"The Shard, 32 London Bridge St, London SE1 9SG, United Kingdom",,
launchPadd ( Software Development Company ),"154 Chiswick High Rd., Chiswick, London W4 1PR, United Kingdom",,+44 7361 102636
Bespoke Software Development,"Kemp House, 152-160 City Rd, London EC1V 2NX, United Kingdom",bespokesoftwaredevelopment.com,+44 20 3951 8737
One Beyond Ltd London,"Pennine South, 18 Hatfields, London SE1 8DJ, United Kingdom",one-beyond.com,+44 20 3096 6199
Everlution Software Ltd.,"6-8 Cole St, London SE1 4YH, United Kingdom",everlution.com,+44 20 3117 0610
Old.St Labs,,old.st,+44 20 3576 2169
"Square Root Solutions: Bespoke Software Development Company London, UK","55 Lordship Rd, London N16 0QJ, United Kingdom",square-root.co.uk,+44 20 3468 8802
IIT Software Limited,"35 Little Russell St, London WC1A 2HH, United Kingdom",iitsoftware.co.uk,+44 20 3372 4303
AVAMAE Software Solutions Ltd.,"Unit 5.02, The Pill Box, London E2 6GH, United Kingdom",avamae.co.uk,+44 800 029 1425
"5StarDesigners Ltd. - Mobile App and Software Development Company in London, UK","20-22 Wenlock Rd, London N1 7GU, United Kingdom",5star-designers.co.uk,+44 20 3239 5977
Idiosys UK | IT companies in London | Web Development Company in London,"2A Glenhurst Rise, London SE19 3XW, United Kingdom",idiosys.co.uk,+44 7378 551917
Cloudhouse Technologies Limited,"1 Ariel Way, London W12 7SL, United Kingdom",cloudhouse.com,+44 20 3515 1505
iQlance Solutions UK - Software Development London,"133 Preston Hill, Harrow HA3 9XE, United Kingdom",iqlance.com,+44 20 7193 1797
SovTech UK,"8 Hermitage St, London W2 1BE, United Kingdom",sovtech.com,+44 20 3998 9611
OD-software,,od-software.com,+44 20 8187 0435
Intellectsoft UK,"5 Merchant Sq, London W2 1AY, United Kingdom",intellectsoft.co.uk,+44 20 3890 4824
BlackBerry,"8 Duncannon St, London WC2N 4JF, United Kingdom",blackberry.com,+44 20 7845 5300
Clockers Software Development,"Unit 218, Brickfields Business Center, 37 Cremer St, London E2 8HD, United Kingdom",,+44 20 3807 6577
Guidewire Software UK Ltd,"Pellipar House, 9 Cloak Ln, London EC4R 2RU, United Kingdom",,+44 20 7042 7750
"Roars Technologies - Web Development, user experience design & App Development Company in UK","11, Tennyson Court, 14 Dorset Square, London NW1 6QB, United Kingdom",roarsinc.com,+44 7537 183399
Linox Software Development,"International house, Holborn Viaduct, London EC1A 2BN, United Kingdom",linox.co.uk,+44 20 3289 9924
Studio Graphene,"Aviation House, 125 Kingsway, London WC2B 6NH, United Kingdom",studiographene.com,+44 20 3096 8384
App development Company London,"86-90 Paul St, London EC2A 4NE, United Kingdom",appmaisters.com,+44 20 3872 2880
Nuix London office,"5th Floor, 20 Midtown, 20 Procter St, London WC1V 6NX, United Kingdom",nuix.com,
App Development Companies,"Level 30, The Leadenhall Building, 122 Leadenhall St, London EC3V 4AB, United Kingdom",appdevelopmentcompanies.co,
Software Development Company in the UK - eLuminous Technologies,"12 Hammersmith Grove, London W6 7AP, United Kingdom",eluminoustechnologies.com,+44 1865 600698
Angry Nerds - Software Solutions Company,"4, 4a Bloomsbury Square, Greater, London WC1A 2RP, United Kingdom",angrynerds.co,
"ImpactQA - Software Testing & QA Company in London, UK","85 Great Portland St, London W1W 7LT, United Kingdom",impactqa.com,+44 20 3903 5335
